set	id	state_read_at_source_2026-09-18	verdict	argument_one_clause
# F120 REVERSE SWEEP: the ledger's own open surfaces tested against the criteria, so the map
# carries what the predecessor could not supply. Verdicts: IN = stands between the current state
# and deployment under at least one reading of the criteria; OUT = closed at its source, or
# excluded with the argument; BOTH = the criteria do not decide it, so it is carried with BOTH
# readings (completeness over certitude, the map's own rule).
# THE OPEN READING that produces every BOTH (map head, question Q-B): section 11.163(h)'s test
# ("does the NEW path behave differently here? else backlog") was derived for T0, whose criterion
# is "observes nothing he must ADAPT to". R0's criterion is different in kind - "it must be
# workable. If there is unfinished or bugged aspects, it could disrupt work there" [vixy
# 11.232(a)2] - and a BOTH-PATHS defect disrupts a developer exactly as much as a new-path one.
# Nobody has ruled whether R0 inherits T0's exclusion. Until he does, every open both-paths row
# is BOTH, not OUT.
#
# SET 1 - section 5 defect rows, ALL live rows swept (a superset of "not closed", so no closure
#   judgement can silently drop a member).
#   command: sed -n '/^## 5\. /,/^## 6\. /p' claude/INTENT.md | /usr/bin/grep -cE '^[0-9]+\. '
#   => 131 ; members: 1 2 5 7 8 9 18 19 20 21 25 26 27 28 32 34 35 36 41 42 43 44 46 47 48 49 50
#   51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81
#   82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109
#   110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132
#   133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154
sec5	5.1	FIXED by Vixy, verified in tree	OUT	closed at the row
sec5	5.2	literal bug FIXED; live remainder = the multAlt consumer assignment wants sign-off, implementation on B10	BOTH	B10 landed bit-identical (11.71) so no observable divergence; the remainder is an owner sign-off swept at B10
sec5	5.5	CLOSED at F47 acceptance (retire-with-old)	OUT	closed at the row
sec5	5.7	RESOLVED (removed, Phase B)	OUT	closed at the row
sec5	5.8	RESOLVED (removed from the base)	OUT	closed at the row
sec5	5.9	RESOLVED (ordering contract)	OUT	closed at the row
sec5	5.18	mechanism FIXED; the anti-stuck floor VALUE suspended for Vixy	OUT	a tuning value behind a feel test, no divergence either criterion names; carried at B10(a)
sec5	5.19	FIXED 2026-09-06 (F91, 11.213)	OUT	closed at the row
sec5	5.20	OPEN, no construction site on EITHER path	OUT	unreachable from both paths (11.163(b)); explicitly not deployment-blocking
sec5	5.21	PARTLY FIXED (latitude); (a) frozen spin + the missing getRotEquatorialToVsop87 OPEN, no longer decision-free	IN	the new path REGISTERS the defective class (modules.cpp:49) so it is a new-path authoring trap too - one of the only three transparency-bearing members of F47's set; blocked on 5.140
sec5	5.25	OPEN - re.period is float32, <=0.13 deg/decade drift	BOTH	both paths and parity-neutral (T0 OUT); a data-exactness limit a developer meets (R0 reading open); Vixy's eye
sec5	5.26	OPEN on two halves: 11.92(d)'s coupling (now 5.135) and the READOUT (B33)	IN	getHeading answers the OLD path while the NEW path draws - a query-vs-drawn divergence the tester reads; swept again at B33
sec5	5.27	CLOSED 2026-08-26 (F39, 11.152)	OUT	closed at the row
sec5	5.28	FIXED at source 2026-08-04	OUT	closed at the row
sec5	5.32	CLOSED 2026-08-01 (F20, 11.128)	OUT	closed at the row
sec5	5.34	FIXED (the Object rep leak)	OUT	closed at the row
sec5	5.35	OPEN - day_key_mode inert end to end; T1 decision	BOTH	both-paths (T0 OUT by 11.163(h)); an inert control surface a developer meets (R0 reading open); carried at T1.10
sec5	5.36	OPEN - blocked on an ASSET not a decision	BOTH	both-paths; rides T3 (his field carries media)
sec5	5.41	OPEN - camera action save cannot succeed as shipped; B31-gated	BOTH	both-paths; carried at T1.10
sec5	5.42	OPEN - config writer destroys comments; T1 x2	BOTH	both-paths, but its automatic sibling 5.112 arms on the DELIVERY mechanism and is IN
sec5	5.43	FIXED 2026-07-25	OUT	closed at the row
sec5	5.44	OPEN as an OLD-path record; B39 made it impossible on the new path	OUT	old path = frozen comparison baseline (11.52(b)); tracked-not-reproduced
sec5	5.46	FIXED	OUT	closed at the row
sec5	5.47	FIXED	OUT	closed at the row
sec5	5.48	OPEN - ASmooth NaN on a cold HOME, ~15% startup race, rated 0/6 with a control that fires	IN	R4's only residual; EntityCore, the owner's; a newcomer's clone builds WITHOUT the guard
sec5	5.49	OPEN - the observer's longitude origin; the owed render measurement untouched	IN	data-author-central (he places content by lon/lat); the measurement is S and unblocked
sec5	5.50	FIXED	OUT	closed at the row
sec5	5.51	FIXED	OUT	closed at the row
sec5	5.52	FIXED (the mid-band surface)	OUT	closed at the row
sec5	5.53	(a) WITHDRAWN as a defect by R29; (b) OPEN, sharper	IN	(b) is the set's only new-path-specific VISIBLE divergence, on the two bodies he shows most; T1.9
sec5	5.54	the dead-spelling half landed (px constants are the authority); the VALUE (2 px vs 3.07 px) is a veto point	BOTH	an as-if-preserved shipped value; carried at A41, not a divergence either path shows today
sec5	5.55	FIXED	OUT	closed at the row
sec5	5.56	OPEN, state unchanged, GROUND REFUTED and re-stated	OUT	the one destructor that exists writes a variable nothing reads; explicitly not deployment-blocking at the row
sec5	5.57	FIXED	OUT	closed at the row
sec5	5.58	FIXED	OUT	closed at the row
sec5	5.59	OPEN, SUSPENDED on A40's fork	IN	a planetarium session that will not quit is a stability-class member; 0 HUNG/13 unstressed is a rate, not a proof
sec5	5.60	OPEN - a single 2.68 GB device allocation	IN	T3: his GPU's limit is not ours; and the pool's silent-return branch is 5.142's own shape
sec5	5.61	OPEN - a lost wakeup in the work queue the frame pacing rides	IN	stability class; the soaks supplied a large stall population and attributed none of it here
sec5	5.62	OPEN - an unattributed same-binary rendering shift between two epochs	IN	an unattributed measurement transient invalidates cross-epoch appearance claims, his included
sec5	5.63	CLOSED (session restore composed-screen difference)	OUT	closed at the row
sec5	5.64	OPEN - timerate action pause does not stop the clock; semantics undecided	BOTH	both-paths; T1.6
sec5	5.65	OPEN - sky-lock latches the previous frame's view	BOTH	both-paths; T1.6
sec5	5.66	OPEN - look_at's two halves; the port is unblocked but the row's OWN owed item is not answered	IN	the predecessor's T2 says both "neither waits on a decision any more" - REFUTED at the row and at session-28 [H4]
sec5	5.67	OPEN - old runs with vision vectors of length 2 after any look_at	OUT	old-path render behaviour, unchanged by construction (11.52(b))
sec5	5.68	OPEN - the place setters are dual but NOT equivalent: old clamps, the camera does not	IN	a NEW-vs-OLD divergence at a shipped seam (moveto alt 0.05 lands the two paths 0.05 m apart); NEVER CARRIED by the predecessor
sec5	5.69	OPEN - keep_time truncated to 8 bits, the default included	BOTH	both-paths; T1.6
sec5	5.70	OPEN - the turn ramp records an unreplayable action	BOTH	both-paths; T1.6
sec5	5.71	OPEN - panView still moves the old navigator alone; the port is dispatchable, the feel answer owed	IN	an operator command that does not reach the drawn path is a transparency hole
sec5	5.72	OPEN - $LOGON carries other clients' answers	BOTH	both-paths; T1.6
sec5	5.73	FIXED at the buffer; the truncation POLICY is still Vixy's	BOTH	both-paths; the >=1023 B marker policy is already a T1.6 member
sec5	5.74	OPEN, no fix owed - "Search is deprecated" (R22)	OUT	de-prioritized by the tester; leaves every deployment path
sec5	5.75	OPEN - a trail drops a sample on a date-stepping show	BOTH	both-paths at the mechanism; trail-sampling policy, T1.6
sec5	5.76	OPEN - a slowed PAUSED clock runs backward	BOTH	both-paths; T1.6
sec5	5.77	OPEN - a failed sky culture is invisible in the log	BOTH	both-paths; startup silences, reproduced by the rehearsal
sec5	5.78	OPEN, no fix owed (R22)	OUT	de-prioritized with 5.74
sec5	5.79	FIXED (ConstellationMgr::getSelected)	OUT	closed at the row
sec5	5.80	FIXED (free-flight teleport); residuals homed at 5.106 and 5.49	OUT	closed at the row
sec5	5.81	CLOSED (NaN screenPos at the eye)	OUT	closed at the row
sec5	5.82	OPEN - transition_to point name is dropped	BOTH	both-paths; T1.6
