srcclass	src	home	target	pos	context
LIVE-A	A23	INTENT.md:997	5.2	228	tudeRelativeToRadius~~ | **RESOLVED [vixy 2026-07-20]; implementation LANDED as B10 2026-07-22 → §11.71** — intent stated (per-body flag, surface default, exists to retire the two-body script patch); §5.2's "center-relative today" claim REFUTED at the same time (field unwired, behavior already correct). The boolean was RETIRED (not fixed): replaced by `datum_radius`/`ground_radius` scalars, `altitudeR
LIVE-A	A23	INTENT.md:997	5.2	504	, behavior already correct). The boolean was RETIRED (not fixed): replaced by `datum_radius`/`ground_radius` scalars, `altitudeRelativeToRadius` deleted entirely, so the polarity sub-answer is moot | §5.2, §11.71 |
LIVE-A	A30	INTENT.md:1001	5.40	1438	eport the miss (never bind to a near match), and keep the qualified path in the REPORT rather than in the key. Still (iii)'s own call — the file↔star direction has a failure mode the ledger does not (§5.40: a name another system loaded first).]** | §11.49(b), §11.51(b), FEATURE_REQUESTS.md, §11.113(m) |
LIVE-A	A40	INTENT.md:1002	5.59	44	| A40 | **Teardown vs an incomplete frame — §5.59's fork** (NEW 2026-07-31, §11.126(g)(l)) | When the drawing worker has not completed the frame the main loop is waiting for and the user asks the application to quit, should it **(i) keep waiting** —
LIVE-A	A40	INTENT.md:1002	5.59	1001	le in three launches with `harness/f19_stall.sh`. **A third answer exists and needs Vixy too**: fix the fault (ii) reaches and then take (ii) — that is more work, not a different question. | §11.126, §5.59 |
LIVE-A	A41	INTENT.md:1003	5.54	1043	the one screenSize threshold still spelled as a fraction — deliberately left, since it is a capability gate rather than a G4 regime boundary, but the px argument applies to it identically. | §11.127, §5.54 |
LIVE-A	A42	INTENT.md:1004	5.53	354	lour map at **180 px** diameter, the new path at **409.6 px** — so between those two sizes an A/B compares two DIFFERENT textures, which has already misled one measurement (F9's 1.34 ratio) and which §5.53(a) has now shown is a real colour change on the two bodies that have preview assets. **Recommendation: align to 180 px while both paths exist** (§11.52(b) parity). Left to Vixy because aligning means
LIVE-A	A42	INTENT.md:1004	5.53	1686	ed 1.44 s between two runs with the steps moving 1.52 s with them. So the residency question this row leaves to Vixy now has the other side of its trade priced. Nothing minted: the mechanism is A43's/§5.53's.]** | §11.127, §5.53, §11.172 |
LIVE-A	A42	INTENT.md:1004	5.53	1709	uns with the steps moving 1.52 s with them. So the residency question this row leaves to Vixy now has the other side of its trade priced. Nothing minted: the mechanism is A43's/§5.53's.]** | §11.127, §5.53, §11.172 |
LIVE-A	A43	INTENT.md:1005	5.53	1515	, for 1.4–3.4 s, before any TCP driver in this collection has taken its first sample. `[measured: artifacts/f55/run{1,2}/f55_series.json.gz, e031_noalbedo_187.png, e032_normal_184.png]`]** | §11.127, §5.53, §11.172 |
LIVE-B	B3	INTENT.md:1014	5.27	1237	ized — §11.97(b)(e). MECHANISM CORRECTED 2026-07-24 (F1, §11.99) then ROOT CLOSED same day (§11.100): NO depth defect — the §11.97(b) probes decompose into the `moon_scale=5` display-scaling swallow (§5.27: grounded children don't ride parent scaling — D21 pending) + the scaled-radius-triggered §11.97(e) regime hole; with `flag moon_scaled off` the coarse merged-bucket occlusion WORKS (measured). B3 ke
LIVE-B	B3	INTENT.md:1014	5.29	1963	whose body was **1.39× its parent** (`OjmLoader.cpp:42` radius×model-radius) — the opposite of D1-negligible. A depth-ordering defect IS measurable at D1 scale, and its cause is now source-located: **§5.29** ray-march proxy-shell depth (Δ 35–350 km on the Moon, observer-independent, whole `<64·scaledRadius` band) and **§5.30** Earth's NIGHT row writing no depth at all. B3 therefore carries a MEASURED d
