src	tgt	CLASS	GROUND	nohome	invmech	srcreg	quoted	tablerow	fromstub	excerpt
11.100	11.97	PROXIMITY	§11.165(c) bucket 4, verbatim: 'the §11.97(c) measurements stand on their own record' beside a RETRACTED about §11.100's OWN (b)	0	0	0	0	0	0	    - **(d) §11.99 corrections (supersession-with-record; §11.99's measured facts all stand, two attributions fall)**: (d)-"garbage near-depth writer" → was cor
11.101	11.53	PROXIMITY	§11.165(c) bucket 4, re-verified at §11.53(d): §11.101(g2) refutes its OWN suspicion, contradicting nothing §11.53 asserted	0	0	0	0	0	0	      - **(g2) HYPOTHESIS REFUTED, recorded because the negative is load-bearing**: the audit opened on the suspicion that §11.53's `≥2.5 s` coin-flip criterion
11.101	5.31	MINT-ROUTE	F59 twin #12: §11.101(j) MINTS §5.31; the nearby REFUTED belongs to §11.53's hypothesis	0	0	0	0	0	0	101. **LEDGER AUDIT — uncaught wrong premises in traced work (2026-07-24, Claude Fable 5, [vixy] mandate; NO code, NO data changed; HEAD `ae3a218d`/`04d3975` ve
11.102	11.108	INVERTED	machine rule	0	1	0	0	0	0	      - **(e3) Runtime COLOR seam unmirrored `[self-verified]`**: `Core::setColorScheme` recolors the OLD cloud at runtime (`core.cpp:1461` `oort->setColor`), w
11.107	11.111	INVERTED	machine rule	0	1	0	0	0	0	      - **TIER B — `light_source` / `shadow_exempt`** (see (f) for the spelling's provenance and its veto point). The composed format builds `BodyType` from the
11.108	11.55	INVERTED	machine rule	0	1	0	0	0	0	108. **S6 CAPABILITY-REACHABILITY AUDIT (the §11.55 bar, run as an enumeration of CAPABILITIES) + B21's descent unification LANDED + §5.26 MEASURED, REFUTED IN 
11.112	11.150	INVERTED	machine rule	0	1	0	0	0	0	    - **(b) THE CENSUS CORRECTION [supersedes §11.58(f)(iii)'s two-site list; original preserved there].** §11.58 catalogued the mirror-bypassing pokes as the t
11.122	11.113	INVERTED	machine rule	0	1	0	0	0	1	122. **B7 HUNT-3 — THE CONTENTION HYPOTHESIS TESTED AND NOT CONFIRMED, AND THE ROW'S FIRST ROOT-CAUSED TEARDOWN DEFECT (2026-07-31, Opus 5 executor dispatched b
11.122	5.51	INVERTED	machine rule	0	1	0	0	0	0	122. **B7 HUNT-3 — the CONTENTION hypothesis TESTED and NOT confirmed (108 teardowns / 0 fires at loadavg ≈ 17, where §11.95 could only measure a quiet host at 
11.124	11.113	INVERTED	machine rule	0	1	0	0	0	0	    - **(f) Was §5.51 an instance or a class? [observed, with a positive control]** `EnvironmentModule` and `Orbit` already declare virtual destructors; `Module
11.125	5.51	INVERTED	machine rule	0	1	0	0	0	0	125. **B7 HUNT-4 — THE ROW'S FIRST REPRODUCIBLE TEARDOWN CRASH, AND IT BELONGS TO THE FIX BEFORE IT: `body action reload` + composed OJM bodies + quit ⇒ SIGSEGV
11.126	11.113	INVERTED	machine rule	0	1	0	0	0	0	    - **(f) §5.56, re-derived under the new order rather than inherited [observed].** §11.124(f) called the loaders harmless *today* on the ground that they die
11.149	5.2	PROXIMITY	F59 twin #1: '§5.2 class' is a CLASS LABEL; the REFUTED in the window belongs to §11.101(f)'s claim at §5.27	0	0	0	0	0	1	149. **THE LAST THREE DECISIONS ANSWERED AND PROPAGATED — D15, D21, D37; `DECISIONS_PENDING.md`'s open set is EMPTY for the first time (2026-08-26, Opus 5 execu
11.15	11.40	INVERTED	machine rule	0	1	0	0	0	0	15. **Triplet resolution (2026-07-11) — predictive-model validation, THE CLOSURE of §1.3/§11.3/§11.10/§11.14.** Method: transcribe each path's composition into 
11.152	5.104	INVERTED	machine rule	0	1	0	0	0	0	    - **(i) §11.101(f)'s UNTESTED PREDICTION IS REFUTED — and the refutation names a defect the prediction could not see: NEW §5.104.** The prediction was that 
