id	predecessor_last_stated_status	ledger_state_read_2026-09-18	disposition	who_acts
# F120 FORWARD CENSUS: every item of DEPLOYMENT-MAP.md @ 3c7350ce (855 lines, archived at
# DEPLOYMENT-MAP/archive/2026-09-18-predecessor.md) gets one row. Column 3 is READ AT THE LEDGER
# (INTENT.md section 5 / section 13 row, or INTENT/<id>.md), never the map's own annotation.
# Resolving commands for the predecessor's item sets:
#   tier R   : sed -n '99,328p' <pred> | /usr/bin/grep -cE '^[0-9]+\. '            => 6
#   T1       : sed -n '329,465p' <pred> | /usr/bin/grep -cE '^[0-9]+\. '           => 11
#   T2       : sed -n '466,537p' <pred> | /usr/bin/grep -cE '^- |^~~'              => 10 bullets
#   T3       : sed -n '538,634p' <pred> | /usr/bin/grep -cE '^- \*\*'              => 6 bullets
#   T4       : the one enumerating paragraph at :637-642 + the :643-653 addendum   => 14 members
#   T5       : sed -n '685,800p' <pred> | /usr/bin/grep -cE '^[0-9]+\. '           => 5
#   NOT-block: sed -n '801,808p' <pred> | /usr/bin/grep -cE '^- \*\*'              => 3
#   crit path: the three closing paragraphs :809-855, members named inline         => 13 named
# Ledger pointers resolve with: python3 claude/intent_resolve.py <id>
R1	MET 2026-09-05 by F83 (merge ba9df31f); residual DISCHARGED	INTENT 11.203 delivered+accepted; origin/2023-master fully in	CLOSED (11.203)	-
R2	MEASURED NOT MET then both blockers gone; documentation half CLOSED (11.206); pin-bump discharged at f4ceb208; CONTENT question is the owner's	5.130 FIXED; 5.131 CLOSED for the clone but "the two install_src.sh:24 riders stay OPEN and unowned"; the content question unanswered	LIVE (narrowed to the two install_src.sh:24 riders); the content question promoted to R7	dispatchable (riders) / owner (R7)
R3	MET 2026-09-05 by F85 (11.206); three residuals recorded	11.206 delivered; 11.234(e)(f)(j) QUALIFIED "cannot rot silently"; residual (i) I1-I7 unwritten, (ii) no authorship convention, (iii) R23's procedure	LIVE (the authorship-convention residual); (i) promoted to R8, (iii) is R7; the remote-form gap promoted to R9	owner
R4	MET for the old-core half 2026-09-05 by F86 (11.205); 5.48 is EntityCore = Vixy's	5.48 OPEN, rated 0/6 with a control that fires; the binary measured carried an EntityCore fix a fresh clone could not reach until f4ceb208	LIVE (5.48 alone)	owner (EntityCore)
R5	DONE 2026-09-12 11:03-11:04 (11.232(b)); 0 unpushed on each; CLOSED as an act	11.232(b); measured again at this round's open: 0 unpushed on both branches	CLOSED (11.232(b)); standing weekly cadence [vixy 2026-09-12]	owner (cadence only)
R6	policy ANSWERED (rename, not redirect); ACT not done; PR-target sentence unstated; two riders answered	11.232(a)2 "master-beta as is; no rename now"; the rename waits on "once ready"; 11.212(h) is the eleven-act checklist + patch	LIVE (two halves: the rename act, gated on his word; the PR-target sentence)	owner
R7 (new, max+1)	carried inside R2's row and the R0 head, with no id	R23 [tester, via owner commit 1e6ca60] "loaded in an outside installation procedure"; 11.204(f) a tree install ships no content; 11.234(l) UNCHANGED, nothing written	LIVE - the intern's clone runs empty and no document says why	owner
R8 (new, max+1)	carried as R3's residual (i), no id	11.232(c)4(ii); doc/developer-entry.md section 9 is a placeholder "to be written by Calvin Ruiz"; 11.234(l) UNCHANGED	LIVE - I1-I7 are cited by number in both repos and exist in neither	owner
R9 (new, max+1)	carried as 11.232(c)4(iii), no id, never in the map	11.234(l) UNCHANGED; the rehearsal substituted a local path and said so; a network clone carries no unreachable objects (11.234(e))	LIVE - the intern cannot run the entry document's second clone	owner
T1.1	CLOSED 2026-09-12 (answered 11.233(d), built F114 -> 11.235)	5.100 + 5.101 FIXED; gaps 99.0336/99.0318 deg -> 8.0e-06/1.0e-05 deg; one residual mint blocked on a host that can select a star	CLOSED (11.235)	-
T1.2	GATE CLOSED 2026-09-05 by round-3 R28; 5.135 minted; 5.128's snap-back undecided	5.135 OPEN (both readings recorded, neither taken); 5.128 OPEN (record-only, the snap-back fork untouched by R28)	CLOSED as a gate; its two residues become T1.13	owner (T1.13)
