dir	source	target	tgtclass	verdict	reading	ground
FWD	5.2	B10	LIVE-B	STALE	QUEUE	'B10 must therefore NOT remove the base-altitude workaround' — B10 is DONE 2026-07-22 (S11.71); the sentence addresses it prospectively
FWD	5.5	A1	CLOSED-PTR	NOT-A-ROW	KEY	S11.73 Tier-A key `sidereal_time` (A1), not row A1
FWD	5.5	A2	CLOSED-PTR	NOT-A-ROW	KEY	Tier-A key `shadow_color`
FWD	5.5	A3	CLOSED-PTR	NOT-A-ROW	KEY	Tier-A key, delivered by S11.91 (A1/A2/A3/A4)
FWD	5.5	A4	LIVE-A	NOT-A-ROW	KEY	Tier-A key (`CASE("Moon",CUSTOM)` dead -> delete)
FWD	5.5	A5	CLOSED-PTR	NOT-A-ROW	KEY	Tier-A key `isStar()`
FWD	5.5	A6	CLOSED-PTR	NOT-A-ROW	KEY	Tier-A key `surface_model`
FWD	5.5	A7	LIVE-A	NOT-A-ROW	KEY	Tier-A key `trail_length`
FWD	5.5	A8	CLOSED-PTR	NOT-A-ROW	KEY	Tier-A key (G6 heuristic), 'A8/A9 type-keyed'
FWD	5.5	A9	CLOSED-PTR	NOT-A-ROW	KEY	Tier-A key (G6 heuristic)
FWD	5.5	B24	LIVE-B	COHERENT	QUEUE	inside the struck 'emit/consume -> B25/B24' span, superseded in place 2026-08-29
FWD	5.5	B25	ARCHIVED	COHERENT	QUEUE	same struck span; B25 CLOSED 2026-07-30 and the row records the supersession above it
FWD	5.5	B27	LIVE-B	COHERENT	QUEUE	'SUSPENDED on B27' — B27 live and open
FWD	5.5	B4	LIVE-B	COHERENT	ARTIFACT	'the session-12 B4-row precedent' — a precedent, not a queue
FWD	5.5	B5	LIVE-B	COHERENT	QUEUE	survivor homed at B5, which is live and open
FWD	5.18	B10	LIVE-B	COHERENT	QUEUE	'MECHANISM FIXED by B10' — records B10's delivery; residual (floor VALUE) matches B10's own row
FWD	5.19	B9	ARCHIVED	NON-STATE	PROVENANCE	'out-of-scope of B9 (found by it)' — a dated scoping fact; B9's closure cannot falsify it
FWD	5.20	B24	LIVE-B	NON-STATE	PROVENANCE	'found by the B24 composition inventory'
FWD	5.23	B24	LIVE-B	COHERENT	QUEUE	'implementation rides B24' (D18 logging) — B24 live and open
FWD	5.24	B15	LIVE-B	COHERENT	ARTIFACT	'the class the B15 (AoI latch) and B19 (position freeze) fixes closed'
FWD	5.24	B19	ARCHIVED	COHERENT	ARTIFACT	'rotation twin of the B19 position-freeze' — names the class
FWD	5.24	B24	LIVE-B	NON-STATE	PROVENANCE	'found by the B24 equivalence A-vs-A control'
FWD	5.24	B32	ARCHIVED	STALE	QUEUE	'OPEN -> ledger B32' — B32 is ROW DONE (fix LANDED 2026-07-24, code 2912d303, S11.93) and archived; the retired index line INSIDE the same file already reads FIXED by B32
FWD	5.25	B14	LIVE-B	NON-STATE	PROVENANCE	'found by B14-periode 2026-07-23'
FWD	5.26	A38	CLOSED-PTR	COHERENT	QUEUE	the row states 'A38 CLOSED' itself
FWD	5.26	B17	LIVE-B	NON-STATE	PROVENANCE	'exposed by B17's offset'
FWD	5.26	B21	LIVE-B	COHERENT	QUEUE	struck 'alongside B21's descent note' + SWEPT block
FWD	5.26	B33	LIVE-B	COHERENT	QUEUE	'what remains of this row is ... the READOUT (B33)' — B33 live and open
FWD	5.27	B15	LIVE-B	COHERENT	ARTIFACT	'the closed load-time-latch class (B15/B19/B32)' — calls them closed
FWD	5.27	B19	ARCHIVED	COHERENT	ARTIFACT	same clause
FWD	5.27	B3	LIVE-B	NON-STATE	PROVENANCE	'found by the F1/B3 root-cause chain, S11.100'
FWD	5.27	B31	LIVE-B	COHERENT	QUEUE	'Also unblocked by the same answer: B31's T3' — B31 live and open
FWD	5.27	B32	ARCHIVED	COHERENT	ARTIFACT	same closed-class clause
FWD	5.28	A33	CLOSED-PTR	NON-STATE	PROVENANCE	'decision A33's referent' inside the F59 ID-REUSE note
FWD	5.28	B14	LIVE-B	NON-STATE	PROVENANCE	'B14 rot_pole_w0 90 deg axis defect' inside the same note
FWD	5.32	B15	LIVE-B	COHERENT	QUEUE	'closes ... the reference half of the B15 residual' — the row's own CLOSED block records it landed
FWD	5.32	B35	LIVE-B	COHERENT	ARTIFACT	'B35's config-only class' — B35 live and open
FWD	5.34	B24	LIVE-B	NON-STATE	PROVENANCE	'B24-select adds a second instance of the class'
FWD	5.36	B38	LIVE-B	NON-STATE	PROVENANCE	'found by the F4 command-grammar census S11.108(k) / B38'
FWD	5.41	B31	LIVE-B	NON-STATE	PROVENANCE	'found by the B31 design pass 2026-07-25'
FWD	5.42	B31	LIVE-B	NON-STATE	PROVENANCE	'found by the B31 design pass 2026-07-25'
FWD	5.43	B4	LIVE-B	NON-STATE	PROVENANCE	'MEASURED the first time ... (2026-07-25, the B4 anchor registry)'
FWD	5.44	B39	LIVE-B	STALE	QUEUE	'The row exists so B39 does not port the old behaviour' — B39 DONE 2026-07-30 (S11.117) and its own row records 'S5.44 impossible here'; the guard purpose is discharged and this row does not say so
FWD	5.46	B39	LIVE-B	AMBIGUOUS	QUEUE|ARTIFACT	'collapsing it is B39-barrier work' — reading (a) a routing to B39, which is DONE and cannot take it; reading (b) work that touches the barrier B39 built, which persists. Not resolved here
FWD	5.50	A1	CLOSED-PTR	NOT-A-ROW	KEY	harness leg range: 'b24_screen stays green A1-A5'
FWD	5.50	A5	CLOSED-PTR	NOT-A-ROW	KEY	same leg range
FWD	5.52	B12	LIVE-B	NON-STATE	PROVENANCE	'Identical in the pre-B12 and post-B12 binaries'
FWD	5.54	B12	LIVE-B	NON-STATE	PROVENANCE	'found ... while locating the regime boundary for B12'
FWD	5.55	B7	LIVE-B	COHERENT	ARTIFACT	'a member of the S11.15d/B7 shutdown-crash class' — B7 live and open
