srcclass	src	home	target	tgtclass	pos	context
LIVE-STUB	5.5	INTENT.md:266	B27	LIVE-B	92	5. **Hardcoding keyed on `englishName`** — ~~**AUDITED + KEY-DESIGNED (2026-07-22, §11.73 = B27 steps 1–2); emit/consume → B25/B24**~~ **SUPERSEDED IN ITS MECHANISM 2026-08-29 (F47, §11.163(c)): the whole B27 Tier-A/Tier-B program LANDED (§11.91/§11.107/§11.118) and this row's own mechanism sen
LIVE-STUB	5.5	INTENT.md:266	B25	ARCHIVED	123	5. **Hardcoding keyed on `englishName`** — ~~**AUDITED + KEY-DESIGNED (2026-07-22, §11.73 = B27 steps 1–2); emit/consume → B25/B24**~~ **SUPERSEDED IN ITS MECHANISM 2026-08-29 (F47, §11.163(c)): the whole B27 Tier-A/Tier-B program LANDED (§11.91/§11.107/§11.118) and this row's own mechanism sentence is FALSE at source — a §5
LIVE-STUB	5.5	INTENT.md:266	B24	LIVE-B	127	5. **Hardcoding keyed on `englishName`** — ~~**AUDITED + KEY-DESIGNED (2026-07-22, §11.73 = B27 steps 1–2); emit/consume → B25/B24**~~ **SUPERSEDED IN ITS MECHANISM 2026-08-29 (F47, §11.163(c)): the whole B27 Tier-A/Tier-B program LANDED (§11.91/§11.107/§11.118) and this row's own mechanism sentence is FALSE at source — a §5-row
LIVE-STUB	5.5	INTENT.md:266	B27	LIVE-B	205	Hardcoding keyed on `englishName`** — ~~**AUDITED + KEY-DESIGNED (2026-07-22, §11.73 = B27 steps 1–2); emit/consume → B25/B24**~~ **SUPERSEDED IN ITS MECHANISM 2026-08-29 (F47, §11.163(c)): the whole B27 Tier-A/Tier-B program LANDED (§11.91/§11.107/§11.118) and this row's own mechanism sentence is FALSE at source — a §5-row-stale-against-its-§13-row inversion. CLOSE-CANDIDATE proposed; residual survi
LIVE-STUB	5.5	INTENT.md:266	B5	LIVE-B	431	LANDED (§11.91/§11.107/§11.118) and this row's own mechanism sentence is FALSE at source — a §5-row-stale-against-its-§13-row inversion. CLOSE-CANDIDATE proposed; residual survivors are old-path (→S8/B5/§5.98, whose site is this row's F1) or `type`-keyed (SUSPENDED on B27). **CLOSED at F47 acceptance [fable 2026-08-29]: retire-with-old per convention, every survivor already homed (S8/B5/§5.98/B27); 
LIVE-STUB	5.5	INTENT.md:266	B27	LIVE-B	500	 is FALSE at source — a §5-row-stale-against-its-§13-row inversion. CLOSE-CANDIDATE proposed; residual survivors are old-path (→S8/B5/§5.98, whose site is this row's F1) or `type`-keyed (SUSPENDED on B27). **CLOSED at F47 acceptance [fable 2026-08-29]: retire-with-old per convention, every survivor already homed (S8/B5/§5.98/B27); reopening criterion = a new-path `englishName` sniff after `d6aec251`.
LIVE-STUB	5.5	INTENT.md:266	B5	LIVE-B	618	ld-path (→S8/B5/§5.98, whose site is this row's F1) or `type`-keyed (SUSPENDED on B27). **CLOSED at F47 acceptance [fable 2026-08-29]: retire-with-old per convention, every survivor already homed (S8/B5/§5.98/B27); reopening criterion = a new-path `englishName` sniff after `d6aec251`.**** […] → INTENT/5.5.md
LIVE-STUB	5.5	INTENT.md:266	B27	LIVE-B	627	→S8/B5/§5.98, whose site is this row's F1) or `type`-keyed (SUSPENDED on B27). **CLOSED at F47 acceptance [fable 2026-08-29]: retire-with-old per convention, every survivor already homed (S8/B5/§5.98/B27); reopening criterion = a new-path `englishName` sniff after `d6aec251`.**** […] → INTENT/5.5.md
LIVE-STUB	5.18	INTENT.md:271	B10	LIVE-B	78	18. **Observer stuck at height 0, unable to take off** — **MECHANISM FIXED by B10 (2026-07-22, §11.71); TWO-constants structure ratified [D12 §11.79(f)]; floor VALUE (feel-test) suspended for Vixy.** […] → INTENT/5.18.md
LIVE-STUB	5.19	INTENT.md:273	B9	ARCHIVED	91	19. **RA/DE convention divergence at the ModularObject surface** — **OPEN, out-of-scope of B9 (found by it, 2026-07-22, §11.60(h))** […] → INTENT/5.19.md
LIVE-STUB	5.20	INTENT.md:275	B24	LIVE-B	100	20. **`linearOrbit` lerp weights SWAPPED** — **OPEN, dead code, do-NOT-register-as-is (found by the B24 composition inventory, 2026-07-22, §11.78(c))** **[RE-VERIFIED UNCHANGED 2026-08-29, F47 §11.163(b): citation exact; NO construction site on EITHER path (absent from `modules.cpp:45-68`, no `protosys
LIVE-STUB	5.25	INTENT.md:282	B14	LIVE-B	225	period` is float32 ⇒ ≤~0.13°/decade live meridian drift on fast rotators (data exact, engine field-type; both paths, parity-neutral; D8-borderline on query channels — Vixy's eye)** — **OPEN (found by B14-periode 2026-07-23, §11.88(d))** […] → INTENT/5.25.md
LIVE-STUB	5.26	INTENT.md:284	B17	LIVE-B	86	26. **`set heading` old/new semantic desync (S6 command-seam parity class; exposed by B17's offset, pre-existing; heading=0 regime clean)** — ~~**OPEN (2026-07-24, §11.92(e); candidate for the next command-surface sweep)**~~ **SWEPT 2026-07-25 (F4, §11.108(c)) — THE ROW'S OWN OBSERVABLE I
LIVE-STUB	5.26	INTENT.md:284	B17	LIVE-B	373	; candidate for the next command-surface sweep)**~~ **SWEPT 2026-07-25 (F4, §11.108(c)) — THE ROW'S OWN OBSERVABLE IS REFUTED AT SOURCE-OF-TRUTH, the row STAYS OPEN on a different half.** Measured on B17's own scene: `set heading 0` with the offset active = **129 px>32** against a 130 px natural baseline (the recorded 11583 px does not reproduce), `set heading 30` with the offset OFF = **100 px**, af
LIVE-STUB	5.26	INTENT.md:284	A38	CLOSED-PTR	1157	ciding it. The live half is now the REFERENCE-SWITCH ROLL (new holds the whole orientation, old rebuilds it from the mount: −6.16°/−6.49°, 39090/872 px, re-synced by any absolute heading command) → **A38 / D28** — **ANSWERED [vixy 2026-07-26, D28 → §11.113(g); A38 CLOSED]: option (a), the new path KEEPS holding the whole orientation** (old's roll rebuild is a mount convention, not a physical fact, so
LIVE-STUB	5.26	INTENT.md:284	A38	CLOSED-PTR	1218	w holds the whole orientation, old rebuilds it from the mount: −6.16°/−6.49°, 39090/872 px, re-synced by any absolute heading command) → **A38 / D28** — **ANSWERED [vixy 2026-07-26, D28 → §11.113(g); A38 CLOSED]: option (a), the new path KEEPS holding the whole orientation** (old's roll rebuild is a mount convention, not a physical fact, so §11.52(b) does not bind). The roll divergence therefore stop
LIVE-STUB	5.26	INTENT.md:284	B33	LIVE-B	1594	l divergence therefore stops being a defect and becomes the intended behaviour; what remains of this row is (1) the §11.92(d) suspended coupling on the heading≠0 × offset≠0 leg and (2) the READOUT (**B33**) — `getHeading` still reports the old path's number, which is what `set heading 0`, the standing remedy for the accumulating tilt, computes from. […] → INTENT/5.26.md
LIVE-STUB	5.27	INTENT.md:286	B15	LIVE-B	1121	ther "displayed" nor "physical" but HISTORICAL ⇒ BOTH D21 options require a change and neither can be chosen against today's behaviour as a baseline; it is the 4th instance of the closed latch class (B15/B19/B32); and the leak runs the wrong way — `ModularBody.hpp:193` states "Just visual scaling" yet a display flag sets PHYSICAL position (D8 violation on the script channel), which §2(a)'s two-layer 
LIVE-STUB	5.27	INTENT.md:286	B19	ARCHIVED	1125	 "displayed" nor "physical" but HISTORICAL ⇒ BOTH D21 options require a change and neither can be chosen against today's behaviour as a baseline; it is the 4th instance of the closed latch class (B15/B19/B32); and the leak runs the wrong way — `ModularBody.hpp:193` states "Just visual scaling" yet a display flag sets PHYSICAL position (D8 violation on the script channel), which §2(a)'s two-layer rule
LIVE-STUB	5.27	INTENT.md:286	B32	ARCHIVED	1129	splayed" nor "physical" but HISTORICAL ⇒ BOTH D21 options require a change and neither can be chosen against today's behaviour as a baseline; it is the 4th instance of the closed latch class (B15/B19/B32); and the leak runs the wrong way — `ModularBody.hpp:193` states "Just visual scaling" yet a display flag sets PHYSICAL position (D8 violation on the script channel), which §2(a)'s two-layer rule alr
LIVE-STUB	5.27	INTENT.md:286	B15	LIVE-B	2249	must carry into the fix, each with its veto point at §11.149(c): **the load-time `altStart` latch dies by implication** (a baked constant cannot inherit a 5 s `ASmooth` ramp — the 4th instance of the B15/B19/B32 class, pre-empted by §11.113(c)); ***"visually identical to unscaled"* is an ACCEPTANCE CRITERION**, read as a uniform dilation of the parent's surface neighbourhood — child placement AND ext
LIVE-STUB	5.27	INTENT.md:286	B19	ARCHIVED	2253	 carry into the fix, each with its veto point at §11.149(c): **the load-time `altStart` latch dies by implication** (a baked constant cannot inherit a 5 s `ASmooth` ramp — the 4th instance of the B15/B19/B32 class, pre-empted by §11.113(c)); ***"visually identical to unscaled"* is an ACCEPTANCE CRITERION**, read as a uniform dilation of the parent's surface neighbourhood — child placement AND extent 
LIVE-STUB	5.27	INTENT.md:286	B32	ARCHIVED	2257	ry into the fix, each with its veto point at §11.149(c): **the load-time `altStart` latch dies by implication** (a baked constant cannot inherit a 5 s `ASmooth` ramp — the 4th instance of the B15/B19/B32 class, pre-empted by §11.113(c)); ***"visually identical to unscaled"* is an ACCEPTANCE CRITERION**, read as a uniform dilation of the parent's surface neighbourhood — child placement AND extent — wi
LIVE-STUB	5.27	INTENT.md:286	B31	LIVE-B	2930	y — record and suspend if the fix forces it). *"shadow received and casted"* is explicit ⇒ shadow geometry reads UNSCALED radii, magnitudes measured before/after. Also unblocked by the same answer: **B31's T3** and the retirement-or-argument of the harness-wide `flag moon_scaled off` workaround.]** **[CLOSED 2026-08-26 — F39, §11.152, code `8c2cbf61`.** MODEL: the `SurfacePointOrbit` latch is dead, t
LIVE-STUB	5.28	INTENT.md:288	B14	LIVE-B	650	NT/5.28.md **[ID-REUSE NOTE 2026-08-30, §11.179(i)(M4) (F59, supervisor-enacted): §5.28 names TWO defects — this row (Translator, minted 2026-08-04) and the RETIRED §5.28 at `INTENT/archive/5.28.md` (B14 `rot_pole_w0` 90° axis defect, decision A33's referent). The 2026-08-04 mint read "next free" off the LIVE register only; archived numbers are RETIRED, never free (header archival note amended same d
LIVE-STUB	5.28	INTENT.md:288	A33	CLOSED-PTR	694	179(i)(M4) (F59, supervisor-enacted): §5.28 names TWO defects — this row (Translator, minted 2026-08-04) and the RETIRED §5.28 at `INTENT/archive/5.28.md` (B14 `rot_pole_w0` 90° axis defect, decision A33's referent). The 2026-08-04 mint read "next free" off the LIVE register only; archived numbers are RETIRED, never free (header archival note amended same day). Resolution-in-place: neither renumbered
LIVE-STUB	5.32	INTENT.md:294	B15	LIVE-B	753	ticPos` it derives from.** — **OPEN (found 2026-07-24, §11.101(d); one fix — recompute the reference's spin+reach at the top of `Camera::update` — closes spin, longitude and the reference half of the B15 residual; existing gates blind by construction)** **[ANNOTATED 2026-07-25, F4 §11.108(e) — FIRST MEASURED OBSERVABLE OF THIS CLASS, and it adds a consumer the row did not list.** `Camera::descend` (`
LIVE-STUB	5.32	INTENT.md:294	B35	LIVE-B	3455	ommon path perturbs a currently-exact value with float noise and the far case has no measured observable. **Also recorded**: the row's `setBoundToSurface` longitude conversion has NO runtime channel (B35's config-only class, sole caller `ssystem_factory.cpp:155`), so that pair is not traversable from any §2(c) channel — what is measurable, and what the conversion consumes, is the spin value itself.]*
LIVE-STUB	5.34	INTENT.md:297	B24	LIVE-B	408	 Pre-existing and already live on the OLD path: a STAR selection leaks its refcounted `StarWrapperBase` on every subsequent selection change (the wrapper self-deletes at zero and never reaches zero). B24-select adds a second instance of the class — each composed-body selection leaks one `ModularObject` (~24 B) **plus a permanent entry in the static `ModularBodyPtr::ref` vector**, which is scanned on 
LIVE-STUB	5.36	INTENT.md:301	B38	LIVE-B	582	e` leaves `argAction` empty, falls through to `Utility::isTrue("toggle") == false` and calls `playerSetShowSubtitles(false)`. — **OPEN (found by the F4 command-grammar census 2026-07-25, §11.108(k) / B38; NOT fixed although the fix is one word: its counterfactual is not observable on this host — `~/.spacecrafter/videos` is empty and the subtitle state has no readout on any control channel — and an un
LIVE-STUB	5.41	INTENT.md:307	B31	LIVE-B	1276	default ostream precision**, so the session's JD **2461247.34443** came back as `time 2.46125e+06` = **2461250** — a **2.66-day error** with a **10-day** round-trip resolution. — **OPEN (found by the B31 design pass 2026-07-25, §11.110(d); NOT fixed: the prefix is a one-line fix but the surface is a user-visible command whose repair makes a previously-dead path live, and the precision half changes th
LIVE-STUB	5.41	INTENT.md:307	B31	LIVE-B	1540	 a one-line fix but the surface is a user-visible command whose repair makes a previously-dead path live, and the precision half changes the file's format; both belong in a wave that can verify them. B31's design (§3.4(d)) requires this surface to be re-expressed on the session serializer rather than extended.) **[CONVERGENCE 2026-08-04: the scedit sweep (unit 4), reading blind of this row, rediscove
LIVE-STUB	5.41	INTENT.md:307	B31	LIVE-B	2445	er/anchors` still does not exist ⇒ the command still always fails as shipped. `CameraAnchors.hpp:91` records that `saveCameraPosition` deliberately STAYS the old `AnchorManager`'s, per this row + the B31 rule. **T1 — B31-gated**: B31 §3.4(d) requires re-expression on the session serializer, not a prefix patch. BOTH-PATHS ⇒ not a T0 transparency hole.]**
LIVE-STUB	5.41	INTENT.md:307	B31	LIVE-B	2462	 does not exist ⇒ the command still always fails as shipped. `CameraAnchors.hpp:91` records that `saveCameraPosition` deliberately STAYS the old `AnchorManager`'s, per this row + the B31 rule. **T1 — B31-gated**: B31 §3.4(d) requires re-expression on the session serializer, not a prefix patch. BOTH-PATHS ⇒ not a T0 transparency hole.]**
LIVE-STUB	5.41	INTENT.md:307	B31	LIVE-B	2475	st ⇒ the command still always fails as shipped. `CameraAnchors.hpp:91` records that `saveCameraPosition` deliberately STAYS the old `AnchorManager`'s, per this row + the B31 rule. **T1 — B31-gated**: B31 §3.4(d) requires re-expression on the session serializer, not a prefix patch. BOTH-PATHS ⇒ not a T0 transparency hole.]**
LIVE-STUB	5.42	INTENT.md:309	B31	LIVE-B	1643	er-editable file is governed by refusal-on-read and destruction-on-write — the exact inverse of the §11.66(b) preservation contract mandated for the other user-editable format. — **OPEN (found by the B31 design pass 2026-07-25, §11.110(c); NOT fixed: making the config writer comment-preserving is the §11.66(b) writer's job on a second format, and making the reader survive a bad line changes startup s
LIVE-STUB	5.42	INTENT.md:309	B31	LIVE-B	1890	ed: making the config writer comment-preserving is the §11.66(b) writer's job on a second format, and making the reader survive a bad line changes startup semantics on frozen field configs — both are B31-adjacent work with their own verification. The immediate design consequence is recorded instead: the session file is NOT `config.ini`, and B31 must not extend this writer's reach.)** **[RE-VERIFIED +
LIVE-STUB	5.42	INTENT.md:309	B31	LIVE-B	2033	ges startup semantics on frozen field configs — both are B31-adjacent work with their own verification. The immediate design consequence is recorded instead: the session file is NOT `config.ini`, and B31 must not extend this writer's reach.)** **[RE-VERIFIED + SCOPE-CORRECTED 2026-08-29, F47 §11.163(f). Every leg present at `d6aec251`: `appModule/app.cpp:932` (drifted from `:907`) → `tools/init_parse
LIVE-STUB	5.43	INTENT.md:311	B4	LIVE-B	804	uarantee this pointer exists to provide). Latent as long as every ModularBodyPtr lived at a stable address; **MEASURED the first time one lived inside a value a container RELOCATES** (2026-07-25, the B4 anchor registry): SIGSEGV at `ModularBodyPtr.cpp:19` inside `__relocate_object_a`, on the 6th anchor of the shipped `anchor.ini`, first run (backtrace in §11.111(f)). — **FIXED 2026-07-25 (§11.111(f)
LIVE-STUB	5.44	INTENT.md:313	B39	LIVE-B	1694	 every walk as a side effect of nesting and no descendant's own state is touched — which is exactly what [vixy, D23] requires (*"mustn't change the exposed hidden attribute/flag"*). The row exists so B39 does not "port" the old behaviour on the assumption that old is the spec, and so the divergence is named before it is measured.
LIVE-STUB	5.46	INTENT.md:316	B39	LIVE-B	1173	le), which is exactly the class §11.39 believed it had closed (*"the cached frame is correct for EVERY body, visible or not"* — true of the descent, false of the climb). — **OPEN (found 2026-07-30 by B39; NOT fixed there: the one-line fix CHANGES RENDERED OUTPUT for a body B39 does not otherwise touch, and B39 does not need it — `publishParkedFrame` captures the frame at the six sites that provably h
LIVE-STUB	5.46	INTENT.md:316	B39	LIVE-B	1247	d frame is correct for EVERY body, visible or not"* — true of the descent, false of the climb). — **OPEN (found 2026-07-30 by B39; NOT fixed there: the one-line fix CHANGES RENDERED OUTPUT for a body B39 does not otherwise touch, and B39 does not need it — `publishParkedFrame` captures the frame at the six sites that provably have it. Fix shape: assign `matLocalToBodyPos = flat` in the up-chain loop 
LIVE-STUB	5.46	INTENT.md:316	B39	LIVE-B	1281	 visible or not"* — true of the descent, false of the climb). — **OPEN (found 2026-07-30 by B39; NOT fixed there: the one-line fix CHANGES RENDERED OUTPUT for a body B39 does not otherwise touch, and B39 does not need it — `publishParkedFrame` captures the frame at the six sites that provably have it. Fix shape: assign `matLocalToBodyPos = flat` in the up-chain loop where `mat = parentTilted` is assi
LIVE-STUB	5.46	INTENT.md:316	B39	LIVE-B	3773	to eye coordinates, so it did NOT move when the observer turned their head. Residues recorded not fixed: `parkedChildFrame` is now a provable duplicate of this member (§11.139(k)(1), collapsing it is B39-barrier work), **§5.75**, and the orbit pass's depth-bucket clipping.
LIVE-STUB	5.50	INTENT.md:325	A1	CLOSED-PTR	2298	ths from one map and the old path returning is what lets the new one run), while the control ProbeB (`still_orbit`) carries **both halves**; the composed-file rover control (`b24_screen`) stays green A1–A5. Rider recorded, not fixed: the valid-value list is spelled out in the message because no `OrbitCreator` exposes the keyword it handles — an I2 duplication named in the code comment (the same one 
LIVE-STUB	5.50	INTENT.md:325	A5	CLOSED-PTR	2301	 from one map and the old path returning is what lets the new one run), while the control ProbeB (`still_orbit`) carries **both halves**; the composed-file rover control (`b24_screen`) stays green A1–A5. Rider recorded, not fixed: the valid-value list is spelled out in the message because no `OrbitCreator` exposes the keyword it handles — an I2 duplication named in the code comment (the same one `Ca
LIVE-STUB	5.52	INTENT.md:329	B12	LIVE-B	692	` (sum-of-RGB, max 765) over a ~11 px disc. Same row, new path: **all zero**; the only non-zero pixels within 30 px of the centre lie at r ≥ 9 px (the far components' hint ring). Identical in the pre-B12 and post-B12 binaries — the module that fills the MESH slot is not the variable.] The band is not a corner: it is every body between roughly 3 and 16 px across at a 2048-wide render — the regime §2.0
LIVE-STUB	5.52	INTENT.md:329	B12	LIVE-B	705	, max 765) over a ~11 px disc. Same row, new path: **all zero**; the only non-zero pixels within 30 px of the centre lie at r ≥ 9 px (the far components' hint ring). Identical in the pre-B12 and post-B12 binaries — the module that fills the MESH slot is not the variable.] The band is not a corner: it is every body between roughly 3 and 16 px across at a 2048-wide render — the regime §2.0 D3 calls the
LIVE-STUB	5.52	INTENT.md:329	B12	LIVE-B	1917	 — **OPEN** (found 2026-07-31 by F9 while measuring the star surface across regimes; record-don't-fix by that task's stop boundary — it is a MESH-family/regime defect, not a star one, and it predates B12. It also **corrects a recorded conclusion**: §11.44's *"at native fisheye (mid-band, drawNoDepth) the disc is bright in both"* was reading the additive big halo, not the disc; with the halo suppresse
LIVE-STUB	5.54	INTENT.md:333	B12	LIVE-B	1043	dead, and a §2.0 D5 (1k–8k) question underneath — G4's own evidence line cites the named constants as if they were the gates. — **OPEN** (found 2026-07-31 by F9 while locating the regime boundary for B12; record-don't-fix — touching any of those literals moves every body's regime in every scene, which needs its own dispatch and its own before/after scene battery. Decide it as one question: are the ga
