id	arm	family	file	line	channel	severity	sink	class	WHAT	CONS	PREV	CAUSE	CONT	OVR	SC	text	note
F58-A001	A	command	src/interfaceModule/app_command_interface.cpp	170	clog	LOG_TYPE::L_DEBUG	LOG_FILE::INTERNAL	TRACE	-	-	-	-	-	-	-	"Command: " + command + "Argument hash:"	argument-hash dump, L_DEBUG
F58-A002	A	command	src/interfaceModule/app_command_interface.cpp	172	clog	LOG_TYPE::L_DEBUG	LOG_FILE::INTERNAL	TRACE	-	-	-	-	-	-	-	"\t" + iter->first + " : " + iter->second	argument-hash dump, L_DEBUG
F58-A003	A	command	src/interfaceModule/app_command_interface.cpp	210	clog	LOG_TYPE::L_INFO	LOG_FILE::SCRIPT	INFO	-	-	-	-	-	-	-	"Execute_command " + commandline	the per-command echo; §5.115's named amplifier - every executed command is echoed here, twice with app.cpp:770 on the TCP path
F58-A004	A	command	src/interfaceModule/app_command_interface.cpp	226	clog	LOG_TYPE::L_INFO	LOG_FILE::SCRIPT	INFO	-	-	-	-	-	-	-	"this command has not been executed " + commandline	a command skipped by an if-block: expected behaviour, neither schema applies
F58-A005	A	command	src/interfaceModule/app_command_interface.cpp	233	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	_("Unrecognized or malformed command name")	the vocabulary paths: the record is completed by searchNeighbour's '<token> is unknown. Did you mean <x> ?' [app_command_init.cpp:368-387], which names the token and offers ONE Levenshtein guess - a guess is not an enumeration and the distance is unbounded, so a wildly wrong token still gets a confident suggestion || the only refusal path that does NOT reach executeCommandStatus (returns 0 at :236), so the 'Could not execute' companion line is absent here
F58-A006	A	command	src/interfaceModule/app_command_interface.cpp	234	clog	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	CHAN	-	-	-	-	-	-	-	debug_message	emits another site's record; owns no content of its own. :312 is the one that writes a variable known to be empty
F58-A007	A	command	src/interfaceModule/app_command_interface.cpp	312	clog	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	CHAN	-	-	-	-	-	-	-	debug_message	emits another site's record; owns no content of its own. :312 is the one that writes a variable known to be empty
F58-A008	A	command	src/interfaceModule/app_command_interface.cpp	327	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	N	N	P	-	-	-	P	("Unrecognized or malformed flag argument")	MISIDENTIFIES the fault: an unknown flag NAME is reported as a bad flag ARGUMENT, because the assignment that would have named it is commented out at app_command_interface.cpp:311 - and the emit left behind at :312 writes the then-empty debug_message, i.e. a blank line, before the caller's wrong message || companion blank line at :312; see AB
F58-A009	A	command	src/interfaceModule/app_command_interface.cpp	676	clog	LOG_TYPE::L_WARNING	LOG_FILE::INTERNAL	ERR	Y	P	Y	-	-	-	Y	"Command 'flag': this flag cannot be toggled because its " "current value cannot be read; pass 'on' or 'off' instead."	the flag surface's best record: names the fault, implies the consequence ('cannot be toggled'), gives the action and enumerates the valid values ('pass on or off') - but it is written to LOG_FILE::INTERNAL at L_WARNING while the script author reads LOG_FILE::SCRIPT
F58-A010	A	command	src/interfaceModule/app_command_interface.cpp	1148	clog	LOG_TYPE::L_DEBUG	LOG_FILE::INTERNAL	ERR	N	P	N	-	-	-	-	"no effect with unknown case "	'no effect with unknown case ' - the trailing space is where the case was meant to go; the record names neither the flag nor the value, and lands on INTERNAL at L_DEBUG
F58-A011	A	command	src/interfaceModule/app_command_interface.cpp	1173	clog	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	CHAN	-	-	-	-	-	-	-	"Could not execute: " + commandline	emits another site's record; owns no content of its own. :312 is the one that writes a variable known to be empty
F58-A012	A	command	src/interfaceModule/app_command_interface.cpp	1174	clog	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	CHAN	-	-	-	-	-	-	-	debug_message	emits another site's record; owns no content of its own. :312 is the one that writes a variable known to be empty
F58-A013	A	command	src/interfaceModule/app_command_interface.cpp	1186	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	N	N	P	-	-	-	P	("Unrecognized or malformed flag argument")	MISIDENTIFIES the fault: an unknown flag NAME is reported as a bad flag ARGUMENT, because the assignment that would have named it is commented out at app_command_interface.cpp:311 - and the emit left behind at :312 writes the then-empty debug_message, i.e. a blank line, before the caller's wrong message || companion blank line at :312; see AB
F58-A014	A	command	src/interfaceModule/app_command_interface.cpp	1195	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Unrecognized or malformed command_flag behaviour")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A015	A	command	src/interfaceModule/app_command_interface.cpp	1205	clog	LOG_TYPE::L_WARNING	LOG_FILE::INTERNAL	ERR	P	Y	N	-	-	-	-	"No tcp : i can't send "	'No tcp : i can't send ' - the `get` command's answer is dropped; the consequence is stated, the requested value is not named and no action is given
F58-A016	A	command	src/interfaceModule/app_command_interface.cpp	1230	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'get': unknown status value")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A017	A	command	src/interfaceModule/app_command_interface.cpp	1233	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command 'get': unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A018	A	command	src/interfaceModule/app_command_interface.cpp	1318	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'session': the session could not be saved")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A019	A	command	src/interfaceModule/app_command_interface.cpp	1321	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'session': the session could not be loaded")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A020	A	command	src/interfaceModule/app_command_interface.cpp	1323	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	Y	-	-	-	Y	_("Command 'session': unknown or missing action, expected 'save' or 'load'")	enumerates the valid values inside the message ('expected save or load')
F58-A021	A	command	src/interfaceModule/app_command_interface.cpp	1344	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	_("command 'search' : missing name argument")	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A022	A	command	src/interfaceModule/app_command_interface.cpp	1356	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	Y	N	P	-	-	-	P	_("command 'planet_scale' : missing name or scale argument")	names the missing/short element, which is a partial action (add THIS argument) but never its form or valid values; no consequence stated
F58-A023	A	command	src/interfaceModule/app_command_interface.cpp	1403	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("command_'wait' : unrecognized or malformed argument name.")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A024	A	command	src/interfaceModule/app_command_interface.cpp	1424	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command_personal: Unknown 'action' value"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A025	A	command	src/interfaceModule/app_command_interface.cpp	1431	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"command_'personal' : unrecognized or malformed argument"	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A026	A	command	src/interfaceModule/app_command_interface.cpp	1455	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	"Error loading nebula."	reports that an operation failed without naming a reason, a consequence or an action ('error <op>', 'Error loading X.')
F58-A027	A	command	src/interfaceModule/app_command_interface.cpp	1471	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'dso': unknown action value")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
F58-A028	A	command	src/interfaceModule/app_command_interface.cpp	1505	debug_message	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	ERR	P	N	N	-	-	-	-	_("Command 'dso': case hidden unknown argument")	names the command and a generic fault class ('unknown argument', 'malformed command'); the offending token is visible only through the companion 'Could not execute: <commandline>' line, and no consequence or action is stated
