src	tgt	srcclass	homes	mech	sites	window
11.149	5.2	B-stub-11	register-stub,entry-file	no-marker	INTENT.md:885	** T3 unblocked, **B35** + **§5.89** annotated INFORMED-not-decided, **B39** residue → final tester pass. **One AUTHORITY INVERSION found while flipping §5.27 (§5.2 class):** the expanded entry `INTENT/5.27.md` — the authority by the header's own rule — still carried the root §11.101(f) REFUTED a month ago, while the c
11.156	5.2	A-entry|B-stub-11	register-stub,entry-file	no-marker	INTENT.md:897;INTENT/11.156.md:66	      9. **§5.2** — the stub stopped at the row's FIRST event (2026-07-17 literal-string fix) while the entry carries three later states: the residual REFUTED + RESOLVED 2 || RFORMED 2026-07-29 → §11.113; **§11.155** — B28's verdict and the §11.154 mis-homed-stub repair, both stub-only. Class-(ii) stubs refreshed from their entries (§5.2, §11.86, §11.89, §11.97, §11.112, §11.124, §11.136, §11.137, §11.144) — **two were relaying a REFUTED claim into the index**: §11.86's *"planet offsets are
11.6	5.2	A-entry|B-stub-11	register-stub,entry-file	no-marker	INTENT.md:627;INTENT/11.6.md:3	g** (INTENT 5.2) — deferred because it shifts altitude semantics mid-Moon-investigation; apply on Vixy's go.~~ **CORRECTED 2026-07-20 — DO NOT APPLY AS STAGED (§5.2)**: the premise was false (the createInfo field never reaches the member; altitude is surface-relative today, which is correct), and the staged change carr || g** (INTENT 5.2) — deferred because it shifts altitude semantics mid-Moon-investigation; apply on Vixy's go.~~ **CORRECTED 2026-07-20 — DO NOT APPLY AS STAGED (§5.2)** […] → INTENT/11.6.md
INTENT.md	5.2	B-stub-other	register-stub,entry-file	no-marker	INTENT.md:995	y 2026-07-20]; implementation LANDED as B10 2026-07-22 → §11.71** — intent stated (per-body flag, surface default, exists to retire the two-body script patch); §5.2's "center-relative today" claim REFUTED at the same time (field unwired, behavior already correct). The boolean was RETIRED (not fixed): replaced by `datum
11.108	5.26	A-entry	register-stub,entry-file	register-stub/B@INTENT.md:284;entry-file/A@INTENT/5.26.md:4;entry-file/B@INTENT/5.26.md:4;entry-file/B@INTENT/5.26.md:8	INTENT/11.108.md:3;INTENT/11.108.md:70	108. **S6 CAPABILITY-REACHABILITY AUDIT (the §11.55 bar, run as an enumeration of CAPABILITIES) + B21's descent unification LANDED + §5.26 MEASURED, REFUTED IN ITS RECORDED FORM, and its remaining half SUSPENDED WITH CAUSE (2026-07-25, Opus 5 executor dispatched by Claude Fable 5, task F4; co || 108. **S6 CAPABILITY-REACHABILITY AUDIT + B21 descent unification + §5.26 measured and REFUTED in its recorded form (2026-07-25, Opus 5 executor dispatched by Claude Fable 5, task F4; code `f4dd61f9`, harness `83d0e65`/`ecac51c` || ONFIG-ONLY / G-OLD-ONLY / G-QUERY. A data key with no runtime setter is likewise NOT a gap — `body action load … replace true` re-authors any key at runtime. **§5.26 MEASURED FIRST and its own leg REFUTED**: `set heading 0` with the offset active gives **129 px>32** against a 130 px natural baseline (the recorded 11583
11.165	5.26	A-entry	register-stub,entry-file	no-marker	INTENT/11.165.md:43	 §11.101(g)'s *"corrected the INSTANCE, not the CLASS"* contradicts nothing it asserted) · §11.108→§11.55 (*"the §11.55 bar"* co-occurring with a REFUTED about §5.26) · §11.70→§11.52 (*"already reflected §11.52(c)"*).
11.101	5.27	A-entry	register-stub,entry-file	register-stub/A@INTENT.md:286;register-stub/B@INTENT.md:286;entry-file/A@INTENT/5.27.md:5;entry-file/B@INTENT/5.27.md:5;entry-file/B@INTENT/5.27.md:8;entry-file/B@INTENT/5.27.md:31	INTENT/11.101.md:44	**§11.54(i) false at source**: module ticks come from the draw passes, and B19's own tick moved hidden bodies into the ungated orbit-line sweep → §5.31, A34. **§5.27 mechanism corrected** (a load-time LATCH, not absence-of-scaling ⇒ D21's option set incomplete; §2(a)'s layer rule answers it). Hypothesis REFUTED: §11.53
11.149	5.27	B-stub-11	register-stub,entry-file	entry-file/A@INTENT/5.27.md:5;entry-file/B@INTENT/5.27.md:5	INTENT.md:885	, **B31** T3 unblocked, **B35** + **§5.89** annotated INFORMED-not-decided, **B39** residue → final tester pass. **One AUTHORITY INVERSION found while flipping §5.27 (§5.2 class):** the expanded entry `INTENT/5.27.md` — the authority by the header's own rule — still carried the root §11.101(f) REFUTED a month ago, whil
11.156	5.27	A-entry|B-stub-11	register-stub,entry-file	no-marker	INTENT.md:897;INTENT/11.156.md:43	pair state recovered from harness history**, `git archive` at `458a71f` (= `d43abec^`) into a scratch tree: 165 entry files, 140 live pairs. The method **FLAGS §5.27 class-(i)**, and flags it on the right content: test **D** returns `state {ANSWERED, CORRECTED, UNBLOCKED}`, `date {2026-08-22, 2026-08-26}`, `sec {11.101 || that reads both texts; stated coverage limits and a whole-corpus line-level pass that added exactly one pair (§11.147, N1). **DISCRIMINATING CHECK BOTH WAYS on §5.27**: pre-repair tree (`458a71f` = `d43abec^`, 140 pairs) is FLAGGED class-(i) on the right content — D returns `{ANSWERED, CORRECTED, UNBLOCKED}` + `2026-08
INTENT.md	5.28	B-stub-other	register-stub,entry-file,archived-entry	no-marker	INTENT.md:1019	ible on the other 17 (placeholder textures). The fetched W₀ VALUES and the cited-fetch discipline are NOT in question — only the axis they are converted onto → §5.28, decision A33. Two §11.86(c) sub-claims corrected: "planet offsets are TEXTURE-registered" is REFUTED (they ARE IAU-consistent at u 0.5 — Saturn 0.5000 / 
