id	kind	line	head
A1	CLOSED-PTR	1038	(pointer-only in §13.C)
A2	CLOSED-PTR	1038	(pointer-only in §13.C)
A3	CLOSED-PTR	1038	(pointer-only in §13.C)
A4	LIVE-A	989	| A4 | Old planet-grid observable — **NARROWED [Q16]; tropics+polar DONE (B23, §11.57)** | tropics + polar circles **restored on the body, keyed to LINE_TROPIC / LINE_CIRCLE_POLAR*
A5	CLOSED-PTR	1038	(pointer-only in §13.C)
A6	CLOSED-PTR	1038	(pointer-only in §13.C)
A7	LIVE-A	990	| A7 | STAR_VIEWER / CORONA families — **NARROWED [Q22]** | surface direction answered (→ A8/B12); what stays here = **multi-star per-instance halo colour/texture**, unreachable to
A8	CLOSED-PTR	1038	(pointer-only in §13.C)
A9	CLOSED-PTR	1038	(pointer-only in §13.C)
A10	CLOSED-PTR	1038	(pointer-only in §13.C)
A11	CLOSED-PTR	1038	(pointer-only in §13.C)
A12	CLOSED-PTR	1038	(pointer-only in §13.C)
A13	CLOSED-PTR	1038	(pointer-only in §13.C)
A14	CLOSED-PTR	1038	(pointer-only in §13.C)
A15	LIVE-A	991	| A15 | Milkyway/AoI data + tuning — **NARROWED [Q9]; cross-fade now EXISTS (B22, §11.64)** | **cross-fade DONE + cost-bounded (~22.6 ns/frame, 0 draw calls ⇒ "not too costly" meas
A16	LIVE-A	992	| A16 | UNIVERSE BodyType enum | structural `isSystem()` makes it non-load-bearing — add or drop | §11.36 |
A17	LIVE-A	993	| A17 | Nested-subsystem pointer/selection — **NARROWED [Q11]** | **visibility is the selection domain** (*"if a body can be seen, we must be able to select it"*), not system membe
A18	LIVE-A	994	| A18 | Earth-directed free descent — **NARROWED [Q6]** | descent aims at **the surface point under the view ray**, not the centre → B21. **Residual: the far/galactic-distance case
A19	CLOSED-PTR	1038	(pointer-only in §13.C)
A20	CLOSED-PTR	1038	(pointer-only in §13.C)
A21	LIVE-A	995	| A21 | §6.2 inline policy | which header inlines are load-bearing (stay) vs drafting residue (migrate post-parity) | §6.2 |
A22	LIVE-A	996	| A22 | §6.3 BodyType collapse | sign-off on the 2026-07-19 derivation: SPHERICAL/SINGLE/CUSTOM → one default value (zero consumers/producers measured) | §6.3 |
A23	LIVE-A	997	| ~~A23~~ | ~~`solid` / altitudeRelativeToRadius~~ | **RESOLVED [vixy 2026-07-20]; implementation LANDED as B10 2026-07-22 → §11.71** — intent stated (per-body flag, surface defaul
A24	CLOSED-PTR	1038	(pointer-only in §13.C)
A25	CLOSED-PTR	1038	(pointer-only in §13.C)
A26	LIVE-A	998	| A26 | Row-2/13 convergence points — **NARROWED [Q25]** | big-texture threshold **ratified at 20%** ("fine and a better choice"); remaining = regime gate constants, shell screenSi
A27	LIVE-A	999	| A27 | EnvironmentModule convergence points — **NARROWED [Q18/Q19]** | "moon" generalisation **accepted** (A3-class win, old behavior unrecoverable by the user's own statement). L
A28	LIVE-A	1000	| A28 | Shadow flag shipping semantics — **RE-ASK [Q17 failed]** | the question used engine vocabulary (`ring_shadow`) in a document that assumes no implementation knowledge; the t
